iter	Passed	Remaining
718	3212	1255
719	3216	1250
720	3220	1246
721	3223	1241
722	3229	1237
723	3232	1232
724	3235	1227
725	3238	1222
726	3241	1217
727	3244	1212
728	3248	1207
729	3251	1202
730	3254	1197
731	3259	1193
732	3262	1188
733	3267	1184
734	3271	1179
735	3275	1174
736	3278	1169
737	3281	1165
738	3289	1161
739	3294	1157
740	3301	1154
741	3305	1149
742	3310	1145
743	3317	1141
744	3320	1136
745	3324	1131
746	3328	1127
747	3333	1123
748	3336	1118
749	3340	1113
750	3345	1109
751	3348	1104
752	3351	1099
753	3354	1094
754	3358	1089
755	3362	1085
756	3365	1080
757	3369	1075
758	3373	1071
759	3376	1066
760	3380	1061
761	3384	1057
762	3388	1052
763	3393	1048
764	3405	1046
765	3410	1041
766	3414	1037
767	3418	1032
768	3422	1028
769	3427	1023
770	3430	1018
771	3433	1014
772	3438	1009
773	3442	1005
774	3448	1001
775	3452	996
776	3458	992
777	3462	987
778	3465	983
779	3469	978
780	3474	974
781	3479	970
782	3484	965
783	3487	960
784	3491	956
785	3494	951
786	3499	947
787	3502	942
788	3507	938
789	3516	934
790	3520	930
791	3524	925
792	3530	921
793	3534	917
794	3538	912
795	3545	908
796	3549	904
797	3552	899
798	3556	894
799	3559	889
800	3562	885
801	3566	880
802	3573	876
803	3580	872
804	3583	868
805	3587	863
806	3590	858
807	3594	854
808	3597	849
809	3602	844
810	3605	840
811	3619	837
812	3626	834
813	3631	829
814	3634	825
815	3639	820
816	3643	816
817	3647	811
818	3653	807
819	3658	803
820	3662	798
821	3667	794
822	3672	789
823	3676	785
824	3684	781
825	3687	776
826	3694	772
827	3700	768
828	3704	764
829	3710	760
830	3714	755
831	3718	750
832	3723	746
833	3728	742
834	3731	737
835	3735	732
836	3740	728
837	3747	724
838	3753	720
839	3756	715
840	3759	710
841	3762	706
842	3765	701
843	3769	696
844	3773	692
845	3779	687
846	3782	683
847	3787	678
848	3790	674
849	3794	669
850	3797	664
851	3800	660
852	3803	655
853	3806	650
854	3810	646
855	3813	641
856	3816	636
857	3819	632
858	3822	627
859	3826	622
860	3829	618
861	3832	613
862	3835	608
863	3839	604
864	3841	599
865	3844	594
866	3847	590
867	3850	585
868	3853	580
869	3856	576
870	3859	571
871	3863	567
872	3866	562
873	3869	557
874	3871	553
875	3875	548
876	3878	543
877	3881	539
878	3884	534
879	3887	530
880	3890	525
881	3893	520
882	3897	516
883	3900	511
884	3904	507
885	3907	502
886	3910	498
887	3913	493
888	3917	489
889	3922	484
890	3925	480
891	3928	475
892	3931	471
893	3936	466
894	3939	462
895	3942	457
896	3945	453
897	3949	448
898	3952	444
899	3955	439
900	3958	434
901	3962	430
902	3966	426
903	3969	421
904	3972	416
905	3975	412
906	3979	408
907	3982	403
908	3985	398
909	3988	394
910	3992	390
911	3995	385
912	3998	381
913	4001	376
914	4004	372
915	4008	367
916	4011	363
917	4016	358
918	4021	354
919	4025	350
920	4029	345
921	4036	341
922	4039	336
923	4043	332
924	4048	328
925	4053	323
926	4057	319
927	4061	315
928	4065	310
929	4069	306
930	4074	301
931	4077	297
932	4081	293
933	4085	288
934	4089	284
935	4094	279
936	4098	275
937	4103	271
938	4107	266
